,x,y,z,MaximumInscribedSphereRadius,Blanking,CenterlineIds,TractIds,GroupIds
195,77.40751,-57.713734,-237.30919,2.712254859315,0.0,16.0,10.0,50.0
196,77.00413,-63.122993,-235.92468,2.3653944489108,0.0,16.0,10.0,50.0
197,76.25541,-65.54202,-236.45253,2.123558062867281,0.0,16.0,12.0,52.0
198,74.40886,-70.376976,-237.90042,2.0381544660756603,0.0,16.0,12.0,52.0
199,72.27604,-75.05286,-239.44958,2.0643150824802725,0.0,16.0,12.0,52.0
200,70.116425,-79.708145,-241.05293,2.041846281913576,0.0,16.0,12.0,52.0
201,77.73324,-64.99182,-234.37225,2.3463075030049487,0.0,17.0,12.0,53.0
202,77.83645,-69.48392,-232.01038,2.087009598290601,0.0,17.0,12.0,53.0
203,76.70223,-70.929665,-230.9367,2.2656042412626114,0.0,17.0,14.0,55.0
204,73.100685,-74.432625,-227.7907,2.1729428312120382,0.0,17.0,14.0,55.0
205,69.509285,-77.07361,-223.79773,2.1673930961749805,0.0,17.0,14.0,55.0
206,78.776726,-71.59451,-231.86713,1.9629699960689322,0.0,18.0,14.0,56.0
207,80.26561,-75.870094,-231.39542,1.4279077713476855,0.0,18.0,14.0,56.0
208,80.752144,-80.40309,-231.03375,1.3613531131687457,0.0,18.0,14.0,56.0
209,81.16274,-84.94976,-230.67293,1.3978832355059008,0.0,18.0,14.0,56.0
210,56.91396,-53.859287,-236.68346,2.000996356989521,0.0,19.0,14.0,57.0
211,52.712505,-53.5401,-236.3408,1.5864536501027513,0.0,19.0,14.0,57.0
212,48.629177,-52.505024,-236.37604,1.726105142512139,0.0,19.0,14.0,57.0
213,44.61005,-51.16205,-236.30978,1.7409051531186353,0.0,19.0,14.0,57.0
214,40.591763,-49.81216,-236.22575,1.7413385207260614,0.0,19.0,14.0,57.0
215,99.26157,18.085413,-201.78136,8.753640466359123,0.0,20.0,2.0,58.0
216,98.35412,19.67858,-205.68217,8.421631001682524,0.0,20.0,2.0,58.0
217,98.073586,20.798016,-209.83423,7.954296045514967,0.0,20.0,2.0,58.0
218,98.10043,22.81086,-213.62679,7.505284447053805,0.0,20.0,2.0,58.0
219,98.14078,25.762882,-216.75116,7.3663519663609724,0.0,20.0,2.0,58.0
220,98.73639,29.12887,-219.31308,7.31885902766988,0.0,20.0,2.0,58.0
221,98.92727,33.514572,-225.60059,6.372056442237106,0.0,20.0,4.0,60.0
222,98.834274,35.09483,-229.82614,5.755213217546688,0.0,20.0,4.0,60.0
223,98.68399,36.48942,-234.133,5.83795863574529,0.0,20.0,4.0,60.0
224,98.38594,37.519566,-238.47086,6.002933659584782,0.0,20.0,4.0,60.0
225,97.66313,38.781925,-242.79053,5.788898182178391,0.0,20.0,4.0,60.0
226,96.84744,40.619217,-246.7353,6.0814279516461225,0.0,20.0,4.0,60.0
227,95.47658,46.60404,-255.90018,5.070055956189691,0.0,20.0,6.0,62.0
228,94.332405,48.780132,-261.48065,4.143001547200675,0.0,20.0,6.0,62.0
229,92.03266,47.20683,-266.63593,2.9936078935641017,0.0,20.0,8.0,64.0
230,89.00101,47.056427,-270.3527,2.206812191569742,0.0,20.0,8.0,64.0
231,85.817116,48.199066,-273.7701,1.7070998585183395,0.0,20.0,8.0,64.0
232,83.16942,49.02282,-277.6675,1.7322064078684403,0.0,20.0,8.0,64.0
233,82.59328,48.11941,-279.3681,1.5656229169499931,0.0,20.0,10.0,66.0
234,82.06565,46.4481,-283.2715,1.5920161535825987,0.0,20.0,10.0,66.0
235,81.79982,45.040615,-287.3186,1.592447878494271,0.0,20.0,10.0,66.0
236,81.5874,43.621307,-291.36987,1.5861338182776274,0.0,20.0,10.0,66.0
237,93.983154,51.35922,-265.22946,4.713207110710069,0.0,21.0,8.0,67.0
238,94.10714,52.590057,-267.96762,4.847685505483465,0.0,21.0,8.0,67.0
239,93.60851,56.2358,-276.10776,3.656315893405978,0.0,21.0,10.0,68.0
240,94.76114,59.71371,-282.4613,3.0724293639499805,0.0,21.0,10.0,68.0
241,95.055664,62.93756,-283.8615,3.0511103968303765,0.0,21.0,12.0,70.0
242,97.58029,67.7903,-285.3031,2.5458341034452623,0.0,21.0,12.0,70.0
243,97.34034,70.1779,-286.50845,2.3169362333581462,0.0,21.0,14.0,72.0
244,97.018555,73.81719,-288.96103,2.197878651278274,0.0,21.0,14.0,72.0
245,96.35824,77.44269,-291.3523,2.1782224874916434,0.0,21.0,14.0,72.0
246,95.90621,80.93083,-293.97968,2.1877284712645633,0.0,21.0,14.0,72.0
247,95.50043,84.51249,-296.50803,2.1746028709368757,0.0,21.0,14.0,72.0
248,91.00084,59.087982,-273.99805,3.153767366346045,0.0,22.0,10.0,73.0
249,90.11682,62.647205,-275.98343,2.992814442964063,0.0,22.0,10.0,73.0
250,88.59083,64.39344,-277.8964,2.8182304894124393,0.0,22.0,12.0,75.0
251,86.11566,67.8655,-280.53824,2.54171230905241,0.0,22.0,12.0,75.0
252,83.31186,70.933334,-283.31613,2.8028728195646098,0.0,22.0,12.0,75.0
253,81.79643,75.06131,-285.87427,2.532643084325942,0.0,22.0,14.0,77.0
254,80.095116,78.443344,-287.93817,2.323648557945779,0.0,22.0,14.0,77.0
255,78.39688,81.671104,-290.19052,1.664503017604408,0.0,22.0,14.0,77.0
256,77.128815,84.7235,-292.95605,1.6727838113401392,0.0,22.0,14.0,77.0
257,75.9207,87.824005,-295.7111,1.6650622240579322,0.0,22.0,14.0,77.0
258,95.280045,59.885708,-285.65945,3.338927426658456,0.0,23.0,12.0,78.0
259,96.15472,61.41063,-293.43912,2.8706720336230966,0.0,23.0,12.0,78.0
260,95.89984,63.659264,-295.60358,2.303509965501619,0.0,23.0,14.0,80.0
261,95.231804,66.78249,-298.31723,2.364701720720529,0.0,23.0,14.0,80.0
262,95.0223,69.59616,-301.41638,2.523189163952428,0.0,23.0,14.0,80.0
263,95.22488,72.31405,-304.54227,2.391704500641498,0.0,23.0,14.0,80.0
264,94.05842,73.95338,-306.1194,2.201327978795776,0.0,23.0,16.0,82.0
265,92.506805,76.89853,-309.08026,1.7406704195726979,0.0,23.0,16.0,82.0
266,90.92764,80.04707,-311.83307,1.6919738652295278,0.0,23.0,16.0,82.0
267,89.34644,83.05803,-314.7466,1.7059801224477977,0.0,23.0,16.0,82.0
268,97.18095,60.92789,-296.27487,2.6812706045129313,0.0,24.0,14.0,83.0
269,98.21799,60.389748,-300.31766,2.721398324916058,0.0,24.0,14.0,83.0
270,97.619965,60.514557,-304.4876,2.220792780795805,0.0,24.0,14.0,83.0
271,97.18575,60.902313,-308.67017,2.4781871312634083,0.0,24.0,14.0,83.0
272,96.97273,61.195137,-312.84045,2.5944278574029527,0.0,24.0,14.0,83.0
273,96.74396,62.233765,-315.2344,2.147281272005688,0.0,24.0,16.0,85.0
274,96.38209,64.18836,-319.53622,1.9350962564022645,0.0,24.0,16.0,85.0
275,96.07055,65.971924,-323.90402,1.934528030677689,0.0,24.0,16.0,85.0
276,95.6925,67.63558,-328.32526,1.9238939868958294,0.0,24.0,16.0,85.0
277,82.385895,49.99057,-279.05838,1.7982212531789918,0.0,25.0,10.0,86.0
278,80.15078,51.796062,-282.7025,1.6438116643777103,0.0,25.0,10.0,86.0
279,78.20418,53.126633,-286.73764,1.696176422026962,0.0,25.0,10.0,86.0
280,76.29207,54.59105,-290.74744,1.6839633434137096,0.0,25.0,10.0,86.0
281,97.49536,51.974564,-272.0412,3.2996146020998633,0.0,26.0,10.0,87.0
282,100.159225,50.580673,-275.4483,2.3320894846048277,0.0,26.0,10.0,87.0
283,101.72906,49.89946,-279.63644,2.0764767802603754,0.0,26.0,10.0,87.0
284,103.32299,50.200806,-281.01257,2.0642913861466052,0.0,26.0,12.0,89.0
285,110.112015,51.29038,-284.47372,1.4924857575984949,0.0,26.0,12.0,89.0
286,96.99197,59.5531,-315.00574,2.000390273523246,0.0,27.0,16.0,90.0
287,96.46122,56.863407,-318.0322,2.014207146305187,0.0,27.0,16.0,90.0
288,95.21991,55.036762,-321.49448,2.06093932974101,0.0,27.0,16.0,90.0
289,94.20404,54.11523,-325.38126,2.0541271653295254,0.0,27.0,16.0,90.0
290,93.18747,53.283283,-329.29327,2.081717888094172,0.0,27.0,16.0,90.0
291,99.89946,69.07451,-285.78467,2.2621218093987223,0.0,28.0,14.0,91.0
292,104.49186,71.68839,-286.61038,2.4485107171578804,0.0,28.0,14.0,91.0
293,108.760124,74.80643,-287.58252,2.396686137606778,0.0,28.0,14.0,91.0
294,113.10045,77.762405,-288.68884,2.402400764907315,0.0,28.0,14.0,91.0
295,96.52559,73.45179,-306.4919,2.3316491365296654,0.0,29.0,16.0,92.0
296,98.15062,75.4934,-310.04556,1.9891830885221264,0.0,29.0,16.0,92.0
297,99.82794,77.91598,-313.33102,1.9642976067151872,0.0,29.0,16.0,92.0
298,101.541565,80.358116,-316.59378,1.9743537069896044,0.0,29.0,16.0,92.0
299,101.339584,49.079205,-281.83026,1.936863580706355,0.0,30.0,12.0,93.0
300,99.34315,46.988285,-285.86514,1.8354064713470581,0.0,30.0,12.0,93.0
301,96.962364,44.860344,-289.69415,1.8370496047432014,0.0,30.0,12.0,93.0
302,91.138794,65.56582,-276.469,2.797108770633871,0.0,31.0,12.0,94.0
303,92.24847,69.575584,-276.5665,2.6840273897941236,0.0,31.0,12.0,94.0
304,93.79991,73.44192,-276.51007,2.689793635939812,0.0,31.0,12.0,94.0
305,95.3926,77.29601,-276.39304,2.6834151005215228,0.0,31.0,12.0,94.0
306,80.0912,72.87716,-286.01202,2.5747393685577475,0.0,32.0,14.0,96.0
307,77.22303,75.003,-288.47223,2.223462054724922,0.0,32.0,14.0,96.0
308,73.84341,76.84448,-290.48376,1.8226673847554857,0.0,32.0,14.0,96.0
309,71.16672,79.5156,-292.62912,1.465793730609,0.0,32.0,14.0,96.0
310,68.61515,82.22526,-294.87988,1.4976146491737294,0.0,32.0,14.0,96.0
311,66.055214,84.92217,-297.14426,1.5006372842444027,0.0,32.0,14.0,96.0
312,98.49397,-31.872553,-245.1134,5.8338442843550755,0.0,33.0,4.0,97.0
313,99.812546,-35.140408,-248.31937,5.386751055852865,0.0,33.0,4.0,97.0
314,104.64312,-38.302277,-250.06602,4.462514139866073,0.0,33.0,6.0,99.0
315,106.97783,-39.648422,-250.34175,4.105122924130918,0.0,33.0,6.0,99.0
316,110.67442,-39.564514,-252.84937,2.816779852002242,0.0,33.0,8.0,101.0
317,114.19487,-38.16554,-257.5061,2.3738719148684817,0.0,33.0,8.0,101.0
318,117.304726,-36.940517,-262.5212,2.3993340911264314,0.0,33.0,8.0,101.0
